,title + body
2755,huh huh
2756,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
2757,"Wow, there are a lot of people who bought cacao around, but I’m in tears. My loss isn’t even a loss ㅡㅡ"
2758,"Kakao shareholders, is the stock a gamble? Are you investing in a company? Then at least you have to run it with conscience."
2759,Split listing failed and the pin was damaged. They sold it right away. Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
2760,This piece of garbage is still empty.
2761,Loss of thousands of dollars ㅠ How do you recover it ㅠ
2762,The chart points to ㅗ. The shape is ㅗ.
2763,"I just reported the anti-water search situation, I'll drink water tomorrow too."
2764,Gakkao Gakkao Gakkao Stocks that are worse than a won-dollar tissue paper
2765,"Now the people who used to swear at me, and those who used to swear at me now, everyone is satisfied"
2766,Gazebarung to Naisut Bay
2767,It's a good gift for someone.
2768,"In the midst of growing a bubble after growing a bubble by partnering with the catastrophe of the collapse of bubbleism, and then selling it all out to ants and bouncing off the ants, it is certain that the growth of the sea area this year is sure to suffer the most from a rate hike."
2769,"Short-term rebound informs you of water ride Cherry blossom method Ride water at the three-line conversion dowon If there is a short-term rebound after Haehae, get out of it"
2770,"Daum Kakao Macro culprit Moon Jae-in Kakao Gate Look at Moon Jae-in's Blue House Democratic Party and his aide yet to see how he went all-in on Kakao Gate's high valuation for privatization of Kakao Gate and stole Korea's old-fashioned funds. You know that the Democrats can't prosecute, they'll eat more for the next year. Kim Beom-soo, tell me to keep my promise, donate half of my fortune, don't run away"
2771,"It runs like a country, like a country, like a country, watching a movie, raising a dog, the economy, the economy, whether the stock price crashes or the price rises."
2772,and finished
2773,"I bought one last year and sold it the next day. I bought it for 10,000 won and ate it the next day and sold it right away. It's terrifying to even think about it if I hadn't taken it off with my money."
2774,"I'm waiting to buy it at 10,000 won haha I don't think it's coming ㅋㅋ I'll see 10,000 won within this year, but you can divide it by dividing the 10,000 won won and buy it in installments."
2775,There is no military safety device that destroys Korea’s stock market
2776,"I have come to condolences, is this the owner of the metaverse?"
2777,"My life was ruined because of cacao, but the person who said that is worse than Ryu Young-jun."
2778,"I don't need money, Nam Goong-hoon, Yun Ho-young, put to death. I don't need money, Nam Goong-hoon, Yun Ho-young."
2779,"Dude, didn't I say on this bulletin board a few months ago that I was going to meet Wolbongsang?"
2780,"Did I tell you that I'm going on Monday? Don't curse me, blame yourself for going downhill, and I'll make a prediction again."
2781,"I lost my hand, I'm at a loss ㅠ"
2782,"After smoking a pack of cigarettes and not sleeping, I analyzed the Kakao chart and went to buy cigarettes."
2783,cha cha cha cha cha chacha full-scale purchase cha cha cha cha cha
2784,"Where do you go, it's over the Galan River"
2785,"It's a situation where there is no answer, but there's really nothing I can do about it"
2786, It's already too bad.
2787,"Under the protection of Moon Jae-in and Kakao's Moon Jae-in and the Celltrion regime, a big company will soon be investigated. Isn't that a hidden evil?"
2788, Kakao announces if it doesn't make electric vehicles
2789,"Wow, you're really going to hell."
2790,"If business was good during the downfall of left-wing companies, it's about to end."
2791,ㅠ The sale of the emergency situation is far away and it is shattered.
2792,"It will drop by 10,000 won more tomorrow. Even now, maybe tomorrow, you may taste the KOSPI point drop."
2793,Has the company gone bankrupt? A garbage company
2794,Are you selling it because only individual shareholders can't be pitiful?
2795,Like Yoonga and Kakao
2796,"Young Doo-hyung has been here for a long time. I sold all of them when explaining the early wave, but they seem to sell well when talking about the early wave."
2797,The cacao is gone too.
2798,I'll be back
2799,"The miserable stock price of the empty shell holding company hurts to return, but it seems to be beneficial for mental health to escape even now."
2800,"Lee hyung predicted today's crash a long time ago, and posted a warning to you. Please refer to this hyung's past article."
2801,I'm jealous of the nine openings that make money only by short selling
2802," I picked it up because I wanted to lose 11,000 won, so I put it together, but it wasn't rice cake, it was rotten shit. I donate one hundred and thirty of my money and leave"
2803,"Now that I sit still and all the money-making guys are all priced in stocks, I feel like I’m making money relatively."
2804,Come here as the Miwon boss
2805,"The 10,000 won is also overvalued, but all dogs and cows are on Kakao Talk. They sell them, share their salaries, and share the salaries. They wash the dishes with all the ants, and the bosses climb on the money cushions."
2806,"gave you the information a few days ago, but is there any hogusagi that hasn't escaped yet?"
2807,"It's falling too much It's not just cacao falling, but it's really falling so I'm scared, so where do I enter?"
2808,"As expected, the bubbles start falling out all the way haha It was almost a gambling game until last year and last year, the gates of hell have been opened for the ants that invested in it ㅠㅠ"
2809,"A few days ago, I dreamed that Kakao would be delisted. No, Real keeps going downhill, but even if it gets delisted, I will be bitten by it and eventually lose money."
2810,I'm really crazy
2811,a ㅐ
2812,"I've been feeling the critique of holding a calm year. Give me away the long fight. Even if I leave the app behind to not see it, I comfort myself again. Unless it's a currency exchange, the current stock coin minus has surpassed Benz. I struggle to live, but TT study on YouTube It is of no use in the economic crisis."
2813,"How many ants are thrown at this price? Only the monthly holders are profitable, but now it's just a short sale and the skyrocketing transaction raises the dollar, foreigners Cell Korea Meanwhile, the Kakao Mobility Panda is the worst color of Kakao Cacao."
2814,"Honestly, do you think Lee Si-chong makes sense?"
2815, I put it
2816,Replying to @TheCreepy
2817,Korean stock market that only sells shorts
2818,"Fair value KOSPI Large-cap Fair value Samsung Electronics 10,000 won Goldstar Electronics 10,000 won Hyundai Electronics 10,000 won Lucky Goldstar Energy Solution 10,000 won Daum 10,000 won Samsung All-inclusive 10,000 won Lucky Goldstar Chemical Rakhee Chemical 10,000 won Hyundai Motor 10,000 won Kia Industrial 10,000 won Kookmin Bank 10,000 won Chohung Bank 10,000 won Chungcheong Hana Bank 10,000 won Samsung Computer 10,000 won Korea Telecom 10,000 won Hanaro Telecom 10,000 won LG Telecom 10,000 won Oil processing oil 10,000 won Honam Refinery 10,000 won"
2819,"If you're a beggar of credit, you still have a long way to go."
2820,"If you don't buy it today, it's 10,000 won, so why are you buying it today lol or not?"
2821,It's really full Olanami Cook Giant Step Pre-record
2822,"Goodbye, everyone, to make billions with stocks Success by investing billions"
2823,How much is the dividend?
2824,"ㅠ It's not a problem to fall out today, tomorrow"
2825,How do you buy credit?
2826,Kakao is still highly valued as a holding company
2827,ㅠ ㅠ it's terrible
2828,"It's 10,000 won at the share price before the 10,000 won, but considering the increase in the number of shares, 10,000 won is expensive. Garbage company"
2829,"It's going to go to 10,000 won. U.S. interest rate hike Quantitative tightening inflation. Debt bombs around the world."
2830,"I was bitten by a pro ㅠㅠ I came for a single hit by critics, but I was bitten from the beginning ㅠ"
2831,"Economic crisis is coming from the US Reduce card consumption and reduce household consumption If interest rates are raised higher, both companies and individuals will go bankrupt. Counter-trading is said to have multiplied by force. Take good care of your debt and reduce consumption."
2832,Kakao stock is taking the lead in the recovery to daily life before Corona.
2833,"Just like Deuts Motors or Deuts Motors, Kakao is the same. Black-haired foreigners sell short and institutions sell short, but the foreign ownership ratio is the same ㅋㅋ The head of the Financial Supervisory Service is from the prosecutor’s office ㅋㅋㅋㅋㅋ"
2834,Did the country fail?
2835,"It's a favorite stock for geeks, but it's going to explode."
2836,Goodbye Kakao and I'm leaving
2837,Why is it like this?
2838,The economic crisis from the US is coming Take good care of your personal credit Reduce consumption
2839,Ants now have to go to work. How long will you be in the stock market dreaming of unearned income? It's not that the stock market collapsed because the slaves don't work.
2840,What I predicted two months ago has come true
2841,"It's like that rhythm. Give me my money. Ooh, it's like a low price. My salary is flying."
2842,Where the hell are you
2843,"This is globalization. If the United States goes down, we all fall together. Our country didn't pay much money during the corona virus, but our country didn't join NATO and it's not even next to Ukraine. It is globalization and neoliberalism that make the United States collapse together."
2844,"Oops, it spilled. I'll have to open it again next year."
2845,"Im looking at you, I'm going to pick the owner's neck"
2846,"There is a change of government, but there are people holding this"
2847,Escape from Kakao is in order of intelligence. People with high intelligence have already escaped and are waiting for the floor to come. Those who have it are greedy to become what it is. Or are they holding on to come?
2848,"I caught a stop-loss routine and bought a won share, and it was stolen more than 10,000 won including the stop-loss tax fee in won."
2849,The married man is going down. It's a garbage company.
2850,Pak Pak Ehyo Pak Pak Elliot Wave How many waves?
2851,What should I really do ㅠㅠ It's an ant ㅠㅠ It's cut in half ㅠㅠ Should I sell it now or should I not watch the stock market for a few years ㅠㅠ It's so sad ㅠㅠ
2852,"I hope you dig it, there's no more hope"
2853,"The asari fan is flying, but the president goes to the movies and gets lost in the game of kings hahahaha"
2854,"Ah, this can't save someone"
2855,"At the opening, the stock market is all over the place."
2856,"Moms, I'm so excited now, just do the housework and take care of my husband."
2857,Escape from Kakao makes you stand out in order of intelligence
2858, hahaha
2859,"Look at 10,000 won is too expensive For other companies with growth potential, look at me rather"
2860,I'll have to stay for a year ㅋㅋ I'm disappointed
2861,What a Jewish financial capital hahahahahahahahahahahahahaha
2862,Where is the end
2863,Completed the analysis to say that it is really going to cost 100 million won
2864,one country
2865,"It's not envious of a red light, so it will go down to at least 10,000 won. If it goes below the max."
2866,"Even when the stock price is full, it is at the bottom. There is a lot of talk about ten thousand. Of course, children who have stopped losing are scared hahaha When they go up, they are hungry, so stop losing your supplies and hold on to it. If you invest with your money, you just have to wait until the war is over Do you want to protect your valuable assets or stocks to reduce losses?"
2867,It will be over if the amount of counter-selling is monsoon
2868,It's super high-speed going down from floor to floor
2869,I'm not broadcasting in front of Young Doo-hyung.
2870,"After all, once a 10,000-won stock falls, you can't see the ability to defend itself."
2871,"Cherry members here, they snoop around on the bulletin board, steal membership fees, steal stocks, get mental, and tell Cherry to buy extra keke The stocks never move on their own keke I got nauseous with noises like the Elliot wave blah blah blah blah blah blah blah blah blah blah blah blah blah Selfish things are quiet in a down market right now lol The only way an individual can make money in the stock market is none other than what Chairman Warren Buffett said to him. chuckle"
2872,The magic of becoming a circle haha
2873,"The reason why I can survive the sharp decline in cacao It is a big drop from the peak, it will probably continue to fall, but I never waver There is a reason I can't even blink an eye Do you know why I'm not shaking It's because I didn't buy this stock Bitten cubs are making the lids open Anyone who knows knows the unstoppable fun No matter how old you get, the fun you can never stop doing this at a brokerage store more than a year ago, even if you get bullied, your petty father said to me: One is a natural person Yes, I'm using that talent now. If I raise the bitten one, I'm going to go crazy on the outside, but in reality I'll want to beg for life. Divorce Mane Divorce Mane Mane There are a lot of people who are ripped off and beaten, and even people who are already hiding in motels to avoid loan sharks. I can't express in words how it feels to be bitten by doing this thing again after making a promise to make fun of people It's my taste to make fun of people like this That's why"
2874,"In the future of the economic war, the only thing to believe in is cash"
2875,"Just like the oil shock in 2001, the US raises interest rates to pro, only high-quality cacao is possible"
2876,I'll get the minimum wage until Nam Goong-hoon resigns.
2877,"Like Deuts Motors, the fixed stock market is also the best. The chief of the Geumgang Institute is a former prosecutor."
2878,I'm tired of short sale
2879,By law and principle hahaha
2880,"Everyone, the economic crisis is coming Reduce consumption, so please take care of your mind. And the economic crisis from the United States continues to speak. Take good care of your debt. Home consumption, personal consumption, you really need to manage Opposition buying and selling is exploding."
2881,"Because I put it in two rooms, I give it a balance hahaha I bought this week today"
2882,The ten thousand notice is almost gone. Goal go go go go go go go go go
2883,"Now it's a counterattack Counterattack Finally, the KOSPI index goes up Now it's a counterattack Counterattack Let's go up quickly"
2884,"It would be a big deal if you cut it out, but make a whale hmm"
2885,"Kakao has too many sales walls, so it takes a lot of time to climb, so stop losing and make a robot-related stock That's why there are rumors that it's with Samsung"
2886,Decided selling is also the best in the stock market like Deuts Motors
2887,"The reason why cacao falls so much Actually, it is 10,000 won from the highest point. At first glance, it seems to be the bottom, but it is not. The KOSPI was at its peak before the corona outbreak, and cacao was 10,000 won at that time. It's still a double price. Today's index is the KOSPI. As far as I know, the KOSPI was the point before the corona outbreak, but it's not much different. It has already returned to the stock price before the corona outbreak, and Kakao is too expensive because it is twice the price compared to the stock price before the corona outbreak. It is only now that the feeling is coming. Considering that the stock that has benefited from the economic stimulus package is Kakao, it is highly likely to fall further due to its side effects, and it is still at a high level compared to before the outbreak of Corona. It was far away and it is still expensive. It depends on what you think"
2888,So I switched to Kakao Pay yesterday
2889,"You hit me a lot, so don't be dissatisfied"
2890, One-sided top-up abolition
2891,"If you take the front seat, you will enter the installment purchase. It will come within this year."
2892,pensioners
2893,"Please give me 10,000 won please ㅠㅠ My imaginary purchase week ㅠㅠ"
2894," Kill octopus with crazy care, Dung Kao"
2895,down to the basement floor
2896,"From now on, it's a counterattack Counterattack KOSPI index bottoms out and goes up Now it's a counterattack Counterattack Kakao is going Unconditionally get out of the way Let's go up"
2897,"The loss of hand is now escaping, I lost"
2898,"What you should do The eldest brother was Putin, not Biden or Xi Jinping. Everyone overlooks that Putin was a real maniac, so the price will come before the end of the war."
2899,The Democratic Party government suddenly shot Kakao and ended on that day. They took away the alleyways without business ethics. They gave permission to Kakao taxis and banks. Then they suddenly betrayed and killed them. killer Democrat
2900,"Monthly salary 10,000 won 10,000 won Where does it really stop? Are you going under the sphere?"
2901,"Hehe, thanks to the disaster, I'm not interested in this one, you poor ants"
2902,"Still, I ride the water Whether you win or I win, I can laugh now I shouldn’t have seen the moon"
2903,"The price before corona is still 10,000 won."
2904,Are you the person who does this?
2905,"You can just look at how much it was before the start of Corona It will fall until there, wait a little longer"
2906,"Conservative Yoon shaman said that he would do better, he said conservative hyungs, he said that the fairness laid down by the conservative hyungs and the invincible superman shaman Mr. Yun Seok-yeol will solve everything. The mastermind is all-round, the shaman is all-encompassing, and the kakao is cut in half hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha"
2907,"It feels like yesterday, when I saw Kakao now and played short selling at 10,000 won at the Wailing Wall, but it's already like that."
2908,"Three generations of cacao hives, raise your hand, changeover keke"
2909, The Korean government actively participates in the Ukuraiza reconstruction project The sound of fuss at the NATO conference The second half of the Ukuraina reconstruction theme has been talked about since the morning.
2910,"You're the hyung of the Wailing Wall, didn't you say you'll miss the Wailing Wall hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha"
2911,"The price taken by the Gukhimdang Economic turmoil The stock price collapse. The National Power Party guys have no luck every time they take power. Every time they take power, the economy collapses. Kim Young-sam, Lee Myung-bak, American financial crisis, Park Geun-hye, there was nothing. As soon as the branch line was over, it collapsed ㅋㅋ Lee Jun-seok, the leader of Wang Jae-soo's National Power Party, got paid for sexual favors and went to Ukraine for a war tour."
2912,How long do you think it will fall?
2913,"There is a reason why 10,000 won is possible. Before Kakao was split-listed, it was right that Iracakao had a high value."
2914,"If Dow or Nasdaq falls today, stop loss and then buy again"
2915,"Criticism minus pro I really want to commit suicide I'm serious, it's my deposit"
2916,"The review price is in the billions of dollars, but it’s still fun. I think I’m crazy."
2917,I'm the asshole who thought I would only reply to deleted posts hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
2918,"It seems like there are only idiots here, I was deceived by the yangarch, I only received an empty peel box of the items I ordered, and I didn't receive the contents. hehe"
2919,"Hurry up, quickly roll it up, there is no more time."
2920,"It's going to be the month of death, stop losing quickly. Cry for the month of Kakao to skyrocket 10,000 won Cry for the month to go down with the japchae"
2921,"If you take out Kakao and enter from Kakao, the only thing that's right is Kakao Talk Hana Kakao Talk, if it costs 10,000 won, it used to be 10,000 won."
2922,"Will we see 10,000 won again? Will we see 10,000 won again in a year?"
2923,"No, what the hell is the floor?"
2924,"A spin-off proposal to recover 10,000 won Co., Ltd. KA Corporation KA Corporation"
2925, I'll report the newbie. I'll sell it when it comes to loyalty. Loyalty.
2926,"When it comes to 10,000 won or 10,000 won, I'm trying to enter billions."
2927,I said it clearly until it fell further
2928, Now let's start slowly
2929,Johnver is not the answer. Escape is only in order of intelligence. I think I will rebound and make up for my losses.
2930,It's full of people hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
2931,"Everyone, come to your senses, it’s not the Kakao you used to know—it’s not the Kakao you used to know. Split listings and sell off. In a word, it’s a garbage overvalued company. You shouldn’t buy it even if it falls again—corona TT. A meaningful rebound is possible only when the interest rate is zero and quantitative easing comes out. ㅡ This is it, don’t be fooled"
2932,"Why is the current stock market crashing? I’ve been talking about why the stock market is going down now. I’ve been talking about it since a year ago. The disaster government has listed hundreds of trillions of new public offering stocks such as Kakao Krafton and LG Energy Solution through a public offering. You know, it's the same principle, and besides, all the stocks listed during the Moon Jae-in government are all bubbles. It's not even one ten trillion won, it's only natural for stock prices to plummet when new stocks are listed for hundreds of trillions of dollars. So, how can the stock market survive? Even if the US recovers, the Korean stock market is difficult If it was listed, the number of stocks in the Korean stock market is now higher than that of the Nasdaq. Do you think that makes sense?"
2933,"Saving people Russia Ukraine war A bank struggling to keep up with rising inflation ㅠㅠ I can't buy a house, I can't even put in oil, so I lost the stock I invested in to make a few bucks. can you recover"
2934, How much did it disappear?
2935,"Hey, it's poisonous, I'm going to buy this again. The US loosens up some money and makes a trending market, so you and I also want to invest in stocks. Buying miscellaneous goods like this, deceived by the familiarity of that insidious character."
2936,"It hurts, but I can only grow my organs as if losing my hands is the answer"
2937,I was told the fair value has come. Pick it up slowly.
2938,"It’s still expensive. Oh my God, I went out of the bank, went out of the bank, went out of games, and I left one Kakao Talk, but it’s not a growth stock, it’s a technology stock."
2939,"If even cacao is split and listed, the real scammers have to send the money to the bank, pay the game, break a few pieces and eat them, leaving only the empty shells of cacao."
2940,"Still, cherry was a hit on YouTube with Kakao, and I also watch cherry YouTube in half and half."
2941,"Ants, why are you living now? Ants, why are you living now? You are burning water You are living because you are living right now."
2942,"It falls well, catch the dog."
2943,"People who have been in stocks for a long time, what is going on"
2944,Are you guys still alive? It would be difficult to live without a lot of bullets
2945,I have to buy Sips Cam Kakao for 2 million won
2946,Is there someone who wrote it because Aeng-doo Yoo said he was leveraged?
2947,"Oh bitter pine nuts, pitiful ants"
2948,"Kakao Taxi Blue is removed, pay monthly and pay that booster dog to dog dog"
2949,How many times do we talk?
2950,"Beomsu, you guys sell out at the high point and stocks are going down. Business is shrinking, stocks are falling endlessly, ants are dying. Don't just make money with each other."
2951,"If you're going to keep resenting, sell it and get out tomorrow. It's still in the beginning stage. Can you handle it? Sell and stick to your main job."
2952,Go back to the original place
2953,"Split listing is a good listing, but in reality, isn't it the same as a capital increase? It's worse than a bequest."
2954,"I'm curious about the cherry, so isn't it Seokyeongseok?"
2955,Look at the hive and be strong.
2956,Let's think outside of the left-right debate
2957,"Even if it was the rest of the money, I lost money and lost it with Jekyllandapro."
2958,Look at the year chart in the distance. Look at the shape of the mountain in the long run. Let's take comfort in the shape of the mountain.
2959,"The stock price of dog miscellaneous stock is always above expectations. Chairman Kim went public in a spin-off, so I lost it in half a year preparing for my retirement."
2960,"We'll all wait and buy at 10,000 won"
2961,The new low has been achieved
2962,"To put it simply, this huge amount of buying ants is going to go up when someone has to buy it again, but if the interest rate rises until next year, who the hell is going to buy it? I've been doing it for a long time, so I'm not going to rebound in a few years, so don't buy it"
2963,"The more I think about it, the more I get mad. What are the executives doing while they fall like this?"
2964,This is just the beginning Corona's initial index is more serious now than it was then
2965,Is there any hope of escaping from the critics? How many years will it take?
2966,"It's just the beginning, you can't see the bottom, it's just a deep sea, wait"
2967,"The holding company's garbage is too much. It's a very, very, very, very, very, very naughty simpo saying that they can't just give it to individuals. If they sell mobility, the highest value, they will become a waste. It's like a zombie company that can't even kill you."
2968,"I anticipate the bottom. It's not a joke, since those who don't even know about stocks are unlikely"
2969,let's wait
2970,Between fair value won
2971,"It's really cheap, cacao"
2972,Kakao Mobility is finally here
2973,"You too, eat hard and don't blink an eye. I don't blink an eye, and there's a reason I don't move. It's because I didn't buy stock. Even if you eat that funny age that you don't have, that funny and naive father who could never stop doing this at the door of a securities company a few years ago and was bullied said that to me. On the surface, they tremble with bluffs and go crazy, but the reality is that the reality is going to be very horrendous. In fact, I want to beg for life. I want to beg for my life. There must have been a guy who hid in a motel to avoid the moneylenders. He already ate and urged his acquaintances to give up his coin a hundred times and a thousand times. It's my taste, I'm still mad, but the fun of opening the lid once more This is the reason I can't stop opening the lids of those who have been bitten"
2974,"It was good to throw yesterday, I hesitated, but the result is good"
2975,Are you saying that you're living your life for the rest of your life?
2976,"Kakao is a worse stock than KEPCO. Hehe, a company that has devoured poor shareholders KEPCO has a solid backing of the government."
2977,"Reply to the deleted post I sold all of them, I didn’t adjust the weight."
2978," If you're going to fall for it, take it down. It's full"
2979,"Is there anyone who is making a profit from cacao? This is about it because I bought it at a high price. Everyone, look at me and get stronger."
2980,"If you sell mobility, Kakao is empty shell Kakao Most of the individual shareholders invested in the future of Kakao-linked businesses."
2981,"Inflation stops when oil prices are stable and raw material prices are stable In the process, raw material prices were also informed, and oil prices were also informed. US inflation is hard to come by. Then the Fed will continue to raise interest rates. But the problem is not general consumption, but raw material grains, and raising interest rates will not work. Inflation is going high, but we can't let the interest rate go just because it doesn't work. Then, every time we raise interest rates, growth stocks are harpooned. Eventually, the war will be over. But who knows the end of the war. This is not the stage to bet as a premonition. Loan or just take it with you, just forget a year and buy it. Downward pressure will continue."
2982,Kakao Judam Phone Number Representative Phone Stock Manager
2983,I wish you good luck when you say you died
2984,Credit Short Selling Let's Die Today
2985,Let's buy stocks quickly when they are cheap
2986,Shouldn't Kakao be launching a toilet reservation system?
2987,I'm not sure why I'm falling
2988,Is it better to sell Kakao Mobility than to list it later?
2989,This is a room for those who have cacao.
2990,Kakao Aegari Ziuk
2991,Do your best
2992,"Do you want your credit balance to go up to 10,000 shares? Everyone, you have to drop more than once before it ends. I'm sorry, but I'm not allowed to buy until the moment when all my credit is stolen and the ants are sold out."
2993,Please do it with your own money or you're a beggar
2994,Today's closing price is won. Let's blow one shot at the end
2995," It is possible to go to a coin with an infinite installment listing of 10,000 won."
2996,A rare staple food that even got a cherry bite lol
2997,finished cacao
2998,That's why they're saying they won't improve the short sale ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ It doesn't seem like the time to go to the movies with rice cakes.
2999,Let's go to the Han River to the basement
3000,"Don't sell unconditionally, wait for the closing price. Throw a shot at the closing price. Wait for the closing price unconditionally. Don't sell unconditionally, wait for the condition."
3001,It's a return to the original value.
3002,KOSPI KOSDAQ mid- and long-term support line analysis KOSPI KOSDAQ mid- and long-term phase support line analysis KOSPI KOSDAQ Electric and Electronic Pharmaceuticals Ko Pharmaceutical Ko Pharmaceutical Ko semiconductor chart analysis requires prediction and response.
3003,A pilgrimage to the Holy Land Is this the ant tomb that follows the three temples?
3004,"To be honest, Kakao is likely to fall. I did not know the topic until now, but I should drop it a bit."
3005,"It is a company that is sold out, even Kakao Mobil, which is a finished item, but it is a company that has only a shell left."
3006,"To tell you to have a good night's dream today, the US Fed rate is being raised in the morning, the weight is on, the main guns are busy selling and the stock market is shaking."
3007,This guy is always furangiperkaoperungbeomsu
3008, What is the Chinese stock market and the U.S. Korean stock market? Lee Hyun-sang
3009,It's nice to have a snack bar for everyone
3010,Do not sell unconditionally and wait for the closing price Are you a god haha
3011,Year Won Peak Breaking through the month in the next year Expected to break through the Won in the next year
3012,"Do not buy Casasayokakao or Kakao affiliates, and even if you buy them, they must not become a major player in Popol."
3013,"It's enough to keep it for years, it's not a dog hodgepodge, sales growth, profit growth, it's obvious to the eye, but I really hate the level of the Republic of Korea that breaks these kinds of stocks from time to time."
3014,It's better to just give up
3015,So how many times have I told you to come?
3016,"The success rate of the Korean short selling force is there is no limit on the repayment period of the perm, and it is not the best money"
3017,Losing in short selling haha This is the reality of the domestic stock market Sell
3018,Reply to deleted post Seok-Yeol Yoon’s expected response to short selling It’s different these days.
3019,Stock is also called stock.
3020,How are you Youngdu?
3021,Let me know from your mother and father
3022,"If the president doesn't go, the country is ruined."
3023,"Don't listen to the words of the late Chairman Lee Byung-cheol, don't even think about going and running a business, and don't use them as high-ranking people."
3024, No click reading room scammers
3025,"Stop trading in the stock market. If you lose trust in the market, it's over."
3026,A cacao leech company hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha”
3027,"Yehyo haha why aren't you listening to me lol I'm a call girl shaman expert I said this, if it gets smashed if it gets smashed, throw it in the real Han River and try it out in a month"
3028,"Still, it's not worse than the hive. Please take it as a comfort."
3029,"If I raise it as if I'm going to sleep tomorrow, the Han River Bridge will break"
3030,Blood-sucking garbage
3031,The stock is cut in half. What should the male representative do? You have to upload it. You too will eat and live.
3032,"Yearly down market stocks are folded and the price of the year is going to the 10,000 won level, pretending to be rebounding from the late 10,000 won level, and crashing."
3033,"I'm sorry, is this stock?"
3034,Unexpected futures opened and fell during the collapse.
3035,Investigation about how the Kakao jujube and the stationery rook stole money from Kakao and it is sure to result in more connection and corruption than Daejang-dong.
3036,"It falls to 10,000 Won No, it is slightly broken. If it is slightly broken, it is recommended. If it explodes to 10,000 Won, it is not recommended."
3037,"Kakao is love. People who sell pupus. People who sell them keke. People who sell them will go and deliver bricks keke. In a month or so, the rice cakes will be spoiled and a Gangnam apartment will be created."
3038,"How do I invest in KakaoTalk? Kakao Games Kakao Bank When I have Kakao Pay, I don’t invest in Kakao, but I invest in KakaoTalk that is listed separately. Kids these days don’t even see KakaoTalk. I just read KakaoTalk and play with TikTok. Is Kakao 10,000 won worth?"
3039,How much are you still trying to do?
3040,What are you doing while you're alive
3041,"I lost the most, eat your back"
3042,"This is my story Age Nam Joo-sik 100 million negative gifts 1,000 negative debts My girlfriend borrowed a thousand forgots of credit and tried to break up with me, but my girlfriend told me that money was okay If you look at the story, the gambling addict is on the road to ruin. Will you let go of your pretty and lovely girlfriend now? Is it for her to pay the money back and run away?"
3043,"Temporary restriction on short selling Hana Financial Investment published a report titled that the bottom line cannot be known until the policy to ban short selling is unusual. In a situation where the stock market plummeted due to a sudden drop in the stock market, the KOSPI index succeeded in rebounding when the ban on short selling was enforced."
3044,It's skyrocketing after hours.
3045,still too expensive
3046,"Open your account, Yoo Young Doo. If you sold it or not, open your account. Prove that you are not a scammer."
3047,"CEO Beom-soo-rang, it's not best to let it get to this point. It's not the best thing to do after proclaiming the people's sovereignty and neglecting the shareholders from time to time."
3048,As if Chinese kids are falling for Kakao China
