	제목+본문
3889	카카오 그룹 주가 하락 이유 분석 및 전망저도 주주이지만 물타는건 나중으로 미루세요 그래야 주가도 덜 떨어집니다
3890	까까오 금요일격주주주들은 그지만들어놓고
3891	그놈의 유대자본은 언제 들어오냐영두야대답좀해주라
3892	평단 만물타야할지 손절쳐야할지ㅜ그지같은회사 선뜻물이안타지네요다른분들 평단은 어느정도인가요
3893	지난 년간 현 주가보다 높았던 구간꼴랑 년하고도 수개월나머지 년하고도 수개월은 현주가보다 훨씬 밑에서 놀았던 종목의 포인트를 이해한 애들은 지금이라도 조금이나마 투자금 건지는거고  스스로 장투라고 위안하는 수밖에 없지 않을까젓갈같은 얘기라 여기지말고 위에 이 한말 직접 객관적으로 살펴봐바 젓갈같은 종목인지 꿀종목인지 지금은 어느 포인트에 있는지 매수 타이밍인지 매도 해야겠는지 이성적인 판단을 할 수 있겄지성투
3894	계속사라 팍팍 ㅋㅋ 유튜버 조심이미 큰 사고 치고도 당당함 부끄러움년 노하우가 부터 까지매수팍팍 저말 믿고 매수한 당신 머리를 책상에 팍팍반등 나오지만 주도주 이미탈락개라이히어 팍팍 ㅋㅋㅋㅋㅋ
3895	그놈의 유대자본은 언제 들어오냐왔다 감 ㅋㅋ
3896	앵두햄 ㅋㅋ목표가 만 설정하면우짜노 ㅋㅋㅋ개미들다 넘어간대서 삿는데 ㅋㅋㅋ개미들 돈다어쩌노
3897	카카오 만 올까만오면 조금사야지 ㅋㅋ
3898	통곡의벽 형이다요새 주식계좌보면 살맛난다공매도 좋타아카카오 주린이들요새 주식 공부 인생 경험잘 하고들 있지
3899	자이언트 스탭으로는 물가 못잡는다는 악재 기사 나왓네 ㅜㅜ울트라 타이탄스탭 나올거라는 예측 나옴연준 내부 자료 자이언트 스텝도 부족금리 까지 올려야입력 오전 본문 요약봇텍스트 음성 변환 서비스 사용하기글자 크기 변경하기 보내기월스트리트저널 인용 보도원본보기제롬 파월 미국 연방준비제도 의장이 지난 일현지시간 기준금리를 포인트 인상한다고 발표하고 있다 연합뉴스미국 연방준비제도연준가 현재 제시한 대 금리로는 인플레이션에 효율적으로 대처할 없고 올해 안에 금리를 로 올려야 한다고 분석하고 있다고 미국 월스트리트저널이 일현지시간 보도했다
3900	경고 리먼사태 닷컴버블 차트비교시앞으로 더 빠진다매수금지 매수금지
3901	예견된일 진작에 손 털었어야했다코로나 직후 무분별하게 돈찍어서 풀어대더니 화폐는 휴지조각 되어 가치는 내려가고 주식시장은 적자기업도 모든기업들이 적게는 프로 많게는 프로 이상씩 오르고 화폐가치 폭락으로 집값은 폭등한 상황  지금 주식시장 버블은 맞음자이언트 스탭 로는 물가 못잡는다는 기사 나왔네 올려야 돈 푼거 거둬들이고 물가 잡힌다네
3902	유영두 회장믿고 쭉 갑니다절대 안팝니다카카오 안샀음
3903	카카오 만원 간다지금사면 주당 만원씩 번다
3904	ㅋㅋㅋㅋ 액분전 만원아직도 비싸 액분전 만원도 비싸비싸
3905	호재 중의 호재개미가 팔기 시작했다시장 상황이 안좋아 오르는건 확신하기 어렵지만 더 이상 폭락은 하지 않을거라는 확신은 선다매수 싯점인데 돈이 없는게 아쉽다
3906	카카오로또복권이나 하나만들자전세계인을 상대로판매주천억목표번호 개맞으면 등당첨금개맞으면 등당첨금개맞으면 등당첨금
3907	검찰 대통령 경제에는 관심 없는 듯대통령은 나라가 엉망인데 취임 후 경제 문제 해결은 뒷전이고 정치 싸움질만 하고 국민의힘은 대통령힘 실어주기 정당으로 명칭을 바꿔라민주당 싫어서 니들 찍은 내가 정신 나간 놈 이다
3908	월봉 무너질때 못판개미들주식접어
3909	누차 이야기하지만통수조심
3910	카카오 만 빠르게 갈듯카카오 젤 잘하는거내수빨기미래투자번 개박살남 클레이튼어디서 근본 이더리움 베껴서  흉내내려다가다떠나쥬 세계에서 클레이튼카카오  끝
3911	꼭대기에서밑에 구경중인사람 어쩌누 에혀
3912	아직도 시총이 조야 적정주가 마넌
3913	지금부터 모아가세요주씩만원에 물린 호구들들주식도 못하는것들
3914	금요일 격주 휴무 카카오 실적 하향정상출근해도 실적 빠지는데직원들 이제 더 많은 요구를 하기시작 할꺼임현대차 노조처럼
3915	윤재앙 씹재앙 신나는 노래우리한번 ㅈ되보자
3916	카카오 만원까지 보셔야 할것 같네요솔직히 엄청나게 고평가 되었던 종목이었는데하락장이 시작되자 거품이 빠르게 사라지고 있네요지지라인 만원을 깨면서 만원 초반까지 가는데 일주일 걸렸습니다만원까지 쉽게 빠질거라고 보구요안타깝지만 만원까지 열어 두셔야 합니다카카오 만원 부근에 물려 계신분들은 부정하고 싶겠지만현실입니다현대건설 년전부터 지금까지의 챠트를 보시면 이해가 가실거라고 봅니다
3917	앵두햄 목표가만 반등파에팔라는개미들   만 계속사라해서삿는데 손해막심
3918	존리를 고발합니다잘못된 매매로 일반인들을 고통속에 넣엇습니다
3919	미장 기술주폭등 내일카카오 돌파확정ㅅ
3920	주일근무ㅋㅋㅋㅋㅋ많이 해먹었구나일 일하구 일쉬고
3921	대주주매도떡락 할듯합니다신원근 카카오페이 대표 만원에 지분 팔고 만원에 재매입김지호 기자 입력   수정 
3922	원에 물렸어요주
3923	기초부터 공부하세요
3924	주식 잘하네신원근 카카오페이 대표 만원에 지분 팔고 만원에 재매입김지호 기자 입력   수정 
3925	앵두햄 패밀리 전부이글봐라앵두햄이 지금유투브영상보면 만원에 유대금융자본이 빠져나갈라고한단다반등 파 만에팔라고하는데그럼 만에 사라 만에사라 만에사라 그러면 손해보는개미들은 어쩌냐만간다고 파남앗다고 하더니 이제방송켜서 파가 만고 끝낫다 이렇게 말을 반복하는데뭐에 씌여가지고믿고 사지마세요
3926	월봉봐라 답없다 유앵두는 왜 추천한거야 개미물려서 후회하게물린개미들 어쩔거냐 비자발적 장투벌레네
3927	만원 주 물림여보 미안해
3928	ㅋㅋ만원부터 개미들 올라타서 만에 팔고떠난다네 ㅋㅋㅋ만부터 산개미는 뭐임ㅋㅋㅋ
3929	물린거 파는 순간 급등팔지말고 존버하십시요
3930	월봉봐라 답없다 유앵두는 왜 추천한거야 개미물려서 후회하게만에 지가 살라고 ㅋㅋ
3931	삼전은 외국인 연일 탈출이고 칵카오는 외국인이 사기 시작했다 나도 삼전에서 갈아탔다삼전은 외국인 연일 탈출이고 카카오는 외국인이 사기 시작이다 지금팔면 외국인들만 좋은일 시키는거다
3932	ㅋㅋㅋㅋ 액분전 만원만원이다 배액분ㅋㅋ
3933	카카오이젠 떠날 때가 된 듯 ㅡ
3934	카카오 적정가 원라고 봅니다
3935	속보 무슨 호재냐신저가악재 대부분 반영 입벌리구기다린다 저점분석엘리어트파동 마지막 국면진행중만대부터 분할 매수하라저점은 전후야ㅕ들이요즘 마구 흔들어 개미즉이려장난웃으며 기다려바닥오면 받아가셔라도박장 변색증권 일하는 마구 문자날려 개인들 돈 뺏으려 안달사기치는 짓 그만합법적 사기강탈패가망신
3936	지금도 너무 고평가 주식입니다이주식 액면가 원짜리입니다문정부때 카카오그룹 최대로 문어발씩 확장하고골목 상권도 싹스리하고해택 많이 받아지만 이번 정부에서최고 피해볼것으로 보이며적정가 만원대로 봅니다아직 매수 시기는 아닌듯합니다이주식 사는 것보다 삼성전자 사서배당금 받는게 훨씬 좋을듯 하네요
3937	월요일 카오잘가고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
3938	내눈에는 만원대까지 내려갈 가능성 높아보이는데 내 착각임ㅈㄴ 높아보임ㅋㅋ
3939	미래소녀한동훈 딸 결국 고발됐네요한동훈 장관 딸이 앞으로 올 미래에 봉사활동을 했다고 직접 싸인까지 했다 이거머냐 한동훈 딸은 시간을 달리는 소녀인가ㅋ 미래에서 봉사활동하고 현재로 돌아왔나ㅋ월 활동기록표에 봉사활동 완료했다고 싸인이 되어 있어 동훈이 딸 싸인이ㅋㅋㅋㅋㅋㅋㅋ시간여행하는 초능력으로 맨 사관학교 가려고 하나보지ㅋㅋㅋ
3940	주주는 속이 썩어가는데주 일 근무하면어 억대 연봉 받으니 참 자랑스럽다
3941	무상증자   참고하세요조광      공시내용 참고 무상증자  종가 원월요일부터 점상 예상투자에 참고하세요
3942	비트코인 개작살 나는중이네월요일 또 얼마나 폭락하려나
3943	하반기 인플레이션이 둔화될 것이라는 가지 근거개인적인 공부차원으로 하반기 인플레이션이 둔화될 것이라는 근거 가지에 대해 글을 써봤습니다월 에서 주로 에너지 식료품 주택가격의 영향으로 물가가 높게 나왔는데주로 이 가지 영향에 대한 하반기전망과 향후 기준금리 인상 둔화에 대한 코멘트가 있으니틀린부분이나 첨언해야하는 내용있으면 말해주세요
3944	돈이끝도없이많은 정신병자새끼는 정신병절대몬고친다지가 의사니까
3945	인류사회가 죽어라 노동해서 이런새끼들만든거야돈많으니까 하루에 톤트럭 쌀 만대씩 쳐먹게 의무지워야하는데
3946	연준 오늘 기준금리 최소프로이상 발표이걸 지금 왜 잡고 있나요코인폭락 주식폭락 부동산은 대폭락할겁니다 돈 있음 예금이나 넣어두세요
3947	  
3948	월요 시초가 시작믿거나 말거나
3949	덕유산에서 내려 왔습니다이번 하락의 시초는 전쟁이다 전쟁장기화로 물가상승 유가금리상승의요인이다올해 주식농사는 비트코인 과 춤을이라고 말했다 찐 바닥은 알수없다누군가에겐기회일것이다쉽게번돈은 쉽게나간다그저 땀흘리면서 번돈이 소중한 것이다옛적 코스피 부근이 생각나는 하루다
3950	덕유산에서 내려 왔습니다각 국가마다 화폐가 있습니다국가의 근본이 된 본원통화를 가상화폐로대체할수 없을뿐더러 어떤 나라도 그걸 용납하지 않을것입니다하루에도 큰 등락이 요동치는 코인 은화페의 기능보다는그저 파생상품의 일종인것입니다본원통화의 역사가 몇천년을 이어져왔는데 한 순간그걸 대체할순 없을것입니다혹 년 후라면 모르겠습니다코인을 인정할런지
3951	네이버 수개월서 반토막 나시가총액매출액영업이익에해답 있어거품 다 꺼진다카카오 왜 이러나 액면가 원 등 다 사기성장해 대한민국 제일 썩은쓰레기 강간범검사 한똥훈이 수사 안하고 덮은 미래애셋 성융광전연합과기전병서화풍방직강만수임기영세종갑홍성국의원미래애셋리써치장사장 그 유명한중국고섬 중국은행상대 억 소송이겨 결론 수백억 벌어 최현만박현주 삼성김앤장 능가 무서운놈들였다 카카오페이유사장억스톡옵션 챙겨퇴사해 빈껍데기회사 개발자임금거품억천만원 월급 주고 뭐 남나 홍춘욱거품사기상장해 원짜리 천원 종업원까지 등쳐 사기상장해 페이뱅크 다 롯데쇼격호 만원짜리 만원 사기상장수법 똑같다 판검사경찰부패쓰레기 등국가 한동훈 검찰경찰 국민세금월급 받아 비리범죄 수사하는 국민종입니다 조원성융광전 수천억금융사기일체수사 안해 중앙지검고검대검접수된 고소장이 수천장 피해자여만명 넘어미래애셋김석동금융위한똥훈강간범매형마누라파트너김앤장신희강태평양판사곽경직중국고섬사외이사가 이명박수십조뇌물부패대통령똘마니 권성동주호영오야붕이다 따거큰 형님 윤석열조나라빚에국제수지대규모적자환고유가빚더미한국 국가디폴트직전에 있어 영업이익 거의 없고 빈껍데기 성장성운운 카카오 네이버 망해 없어져등 달러 쿠팡 보면 미래가 뻔하다  환경파괴등국가각종부정부패뇌물쓰레기왕국 한국압도적위 윤석열한동훈김학의김수창 강도태원주윤중천 별장서 달밤에 뭘했나 다 벌거벗고 마약섹스파티해 제일 썩은쓰레기가 주호영곽경직배광국양승태신영철이상훈김용덕김앤장변호사였다 주식 팔아 처먹고 사는 최수연 김범준 쿠팡꼴 나지 말고 이재용조 버는 삼성전자 사라 전세계반도체주식 하락률 제일 낮아
3952	착각마라 아직 바닥아니다월요일에도 급락
3953	손절하지 마세요주식 파는 순간 급등할 겁니다손절하지마시고 존버하세요
3954	지난 월일지난 월일문재인 마지막 날인 월일코로나의 누적 사망자가 명으로 마침내 만천 명을 넘어섰다세월호 사망자 명일 때 문재인이국가적 재난은 모두 정부 책임이라고 떠들었는데사망자 명이 넘어선 지금 문재인은이제 자신이 한 그 말에 대해 책임을 져야 하겠지
3955	자본주의시장의 허 와 실주말 잘 보내고 있습니까지금 세계 경제는 퍼펙트 스톰이 몰려올것 같네요얼마 안되지만 두중 월요일 시초가에 바로 손절하고 좋은날년 상반기 올때까지 대기합시다미국이 코로나 기간에 풀어놓은 돈 때문에 세계 경제가 소용돌이 칠 것 같습니다 특히 신흥국 시장은 박살날 거 같네요특히 부채가 많은 금리 민감 주 카카오와 같은 성장주는 차 타켓이 됩니다그나마 버티고 있는 차전지 주가 폭락할때쯤 기회가 올것같네요그래도 주식을 계속하고 싶다면 기회가 언제올줄은 모르겠지만 그때 재도전해도늦지 않습니다지금은 거대 퍼팩트 스톰을 피할때 입니다
3956	다음주원 연말까지 만냥
3957	한물간 카카오남은건 손절못하는 모지리들 밑빠진독 뻔한데 삥뜯어 먹는재주는 비상한기업 어찌하면 삥뜯을까 중계삥 그러니 국정감사에서 뚜드려맞지나락 놀음판 만들어놓고 삥뜯는기업
3958	진짜망했다ㅡㅡㅡ
3959	한물간 카카오삥도 부촌에선못뜯고 난민촌 하루벌어먹는 난민촌에서 삥뜯는 재주는 비상 그러면서 아이티 혁신이래모지란놈
3960	원부채도사가 한 번 되보지요원에서 원 사이에서 통 크게 매수해보세요만원대 중후반 이상의 반등 먹고 나오시구요
3961	소상공인 피빨아묵는기업 ㅋㅋㅋ
3962	만원 이하 우량주 진입 그이상은 그냥 대형주내가 만원 일 때도 아직 카카오 저금리 유동성으로 오른 거품이다풀랫품기반 문어발 확장이다 다른 나라 다 비슷한 풀랫품 있어서 글로벌 확장 어렵다너무 무너발 해서 규제받는 중이고 만원도 상당히 고평가라고 했는데만 만 만 일 때도 주린이 들이 혁신 혁신 혁신 기업이라고 아주주식이 뭔지도 모르고 지알 발광을 하던데 정적 왜 혁신 적인지왜 다른 호구가 그이상 더 비싼 가격으로 살 수 밖에 없는지 이유아는 주린이는 없음 ㅋㅋㅋㅋ주식은 걍 내가 매수한 가격보다 다른 호구가 더 비싸게 살 수밖에 없는이유가 분명하면 그 때 사는거야 ㅋㅋㅋ카카오 음 금리도 오르고 시중에 주식시장으로 들어 올 돈도 없고만원 이상이면 더 비싸게 사줄 호구가 많지 않은거 같은데 ㅋㅋㅋㅋ뭐 주린이 말대로 혁신기없이라고 생각하는 호구들을 계속 물타기 하겠지ㅋㅋㅋ
3963	만원대 오면쬐끔 매수해볼란다
3964	상투친지 일년딱 일년전에 자리 수 더 있었네요
3965	문재인 각하가 연 경제대호황 윤재앙이 말아먹네경기침체 고맙다 윤재앙련아윤재앙 ㅅㅂ
3966	구글 인앱결제 법 개정안 발의떡상가냐
3967	나도 매일 결제한다주주 도원결의 카카오 올리보자
3968	카카오가 에 목이 조여서카카오모빌리티 황금알을 빼앗길지카모팔리면 충격한번 올텐데 그때 들어가면 안성맞춤
3969	조만간 만기다려 만
3970	여러분 여러분모두 거지 데세요
3971	쓰레기같은 기술력없는거져 쳐먹으려는 기업은 망해야
3972	팩트체크적정 주가원
3973	카카오 실적 분석 및 전망입니다무작정 물타지 마시고 분석글 읽고 대응하세요
3974	카카오 주주는봐라 천보 앨엔에프 에코프로비엠이세종목으로가면 카카오 만원오를때 적어도 만원오른다진짜 손절뭐뭐무한테당하지말고 제대로 구별해서 종목골라라
3975	앵두믿고 주식산사람봐라만부터 계속 사라고 햇엇지 근데 이제는 만간다는소리안한다 파가끝낫고 반등 파 만원에 팔랜다 그러면 만만만 담은 개미는제발주식 누가사라고해서 사지마라
3976	하반기 인플레이션이 둔화될 것이라는 가지 근거개인적인 공부차원으로 하반기 인플레이션이 둔화될 것이라는 근거 가지에 대해 글을 써봤습니다월 에서 주로 에너지 식료품 주택가격의 영향으로 물가가 높게 나왔는데주로 이 가지 영향에 대한 하반기전망과 향후 기준금리 인상 둔화에 대한 코멘트가 있으니틀린부분이나 첨언해야하는 내용있으면 말해주세요
3977	지금도 너무 고평가 주식입니다적정가 만원대로 봅니다
3978	내일장 관심주 완전 저평가된 차전지 아이이테크놀로지단기적으로 완전 저평가된 차전지 관련주 역대 최고의 공모주중 하나였던 아이이테크놀로지그리고 고점대비 가까운 하락  메타버스액티브월요일 두 종목 단기적으로 접근가능한 종목들입니다분할매수로 접근하면 괜찮은 주식들입니다
3979	ㅋㅋ완전 고평가된 주식 카카오는민주당과 연관된게 확실한거 같다이제 버리는거지 만윈 아래 예상한다연봉 주봉 봐라 개판이다
3980	년차 주주가 후달리는 개미들에게떨지마라믿어라 카오를결국이 세상을 카카오 유니버스가지배할것이다미 증시도 곧 회복된다이념은 버려도돈 잃는건 못 참는게자본주의다한여름 가면 다 지나간다꾹쥐고 존버해라은행적금 쥐꼬리 이자도최소 일년은 견뎌야받을 수 있다일년 안걸리다회복하는데
3981	내일장 차전지 아이이테크놀로지 단기적으로 괜찮은종목내일장 차전지 아이이테크놀로지 단기적으로 괜찮은종목역대급 공모주였던 차전지 관련주 아이이테크놀로지와 메타버스액티브단기적으로 완전 저평가된 차전지 관련주 역대 최고의 공모주중 하나였던 아이이테크놀로지그리고 고점대비 가까운 하락한  메타버스액티브월요일 두 종목 단기적으로 괜찮아 보이는 종목이네요
3982	앵두믿고 주식산사람봐라ㅋㅋ 매수한사람있나보네 ㅋㅋ
3983	카카오는 정치적 중립을 지키라주가는 미래를 본다카카오는 정치적 중립을 지키지 못해 외인들이나 투자자들에게 외면받고 있다카카오는 창립자가 주인이 아니다 주주가 주인이다카카오든 네이버든 대한민국 언론 조작에 앞장선다면 미래는 없다원까지 하락이다 그때까지 잘 생각하라
3984	껄껄껄 그럼 그렇제혁신의 아이콘으로 조명받던 카카오택시를 운영하는 카카오모빌리티가 매각설에 휩싸였다 만명 이상의 회원을 보유한 카카오모빌리티를 매각하려는 카카오의 의중을 두고 다양한 해석이 나오는 가운데 카카오모빌리티 직원들은 노조를 결성하는 등 매각 반대 의견을 내세우고 있다
3985	년간 불법 공매도 위반자  외국인 투자자아직주식하나 ㅋㅋㅋㅋㅋ무차입공매도찍고 잠수타면 너거들 못이긴다상환기간없다바카라 가서 홀짝게임이나해라 그게 확률더높다
3986	처음이라 잘모르지만주식초보가 보기엔 하락이 멈추고나서 횡보가 년 봅니다
3987	만천원 ㅠㅠ 평단인데이거 만원까지 하락 문이 열리고 정말 무섭다 ㅠㅠ
3988	통곡의벽 형이다카카오 내 공매도 전용 기
3989	여기는 주린이들이 개많내얘들아 주식은 도박장이야 니들이 생각하는 실적 성장성 이런거는 주가 영향 미미해 그냥 심리적 안정감을 줄뿐이고상폐걱정이 없는거지 니들 계좌가 우상향한다는 생각은 접어둬 딱보니까 바닥도 안보이고 하락끝나고 몇년 횡보만 해줘도 감사합니다 해야될판이구만 개꿈꾸고있네
3990	소리질러드디어금주시작하는오늘부터출발합니다카카오가드디어만대진입합니다ㅋㅋㅋ소리질러ㅋㅋㅋ만만만ㅋㅋㅋ금주에는만보고만대횡보입니다ㅋㅋㅋ
3991	ㅇ오늘은 얼마 터질까
3992	유영두 이사람말믿고매수한사람들지금심정 어떤가요 ㅋㅋ 안봐도 계좌손실 이상씩 마이너스 널려있을텐데 ㅋ팍팍 ㅋㅋ 코메디가망한이유는 요즘 유튜브 관종들이많아서임
3993	뉴욕시장 휴장노예해방기념일
3994	유영두 이사람말믿고매수한사람들는 양호한거지에서 인디개라이허 팍팍팍
3995	고사지내자오늘은 가자고
3996	카카오 모빌리티조에 매각하는거나 매각하면 카카오 주가 빠지는건 시간문제인데ㅋㅋㅋ카카오는 매각하면 이득없이 모빌리티만 넘겨주는거네ㅋㅋㅋㅋㅋㅋ 카카오는 진짜 대가리들 생각하는 것만봐도 토나오려 함
3997	미선물 아침부터 폭등 달려
3998	부자아빠가 카카오 끝났대ㅜㅜ 부자아빠가 이미 끝난 종목이라고 말한
3999	부동산 떨어진다고 바랍잡는 집도없는 깨문이들벌써 주식으로 미리 작살났네 이거 참이젠 전세도 못구하고 월세로 가야 되는구나이거 어쩌나주식이라도 해서 집한칸 사보려는 야무진 꿈이 산산조각
4000	카카오나 이 주식을 사는사람이나똑같은 족속들 아니냐하는짓이라곤 수수료 떼먹기 내수시장 독점하면서 소상공인죽이고 플랫폼 하나씩 유료화 전환호구 물어서 화해서 투자금 바짝 챙기기대충 글써도 하는짓 ㅈㄴ 더러워서 현타오네
4001	적정가 만원대로 봅니다액면가 원짜리문재앙때 문어발식 수혜주는 개박살 날것 갓슈여기서 놀빠야 대장 삼성전자 가서 놀면분기마다 배당금이라도 받지요
4002	ㅋ벼락거지 속출
4003	충격적인거 하나 알려준다엘지전자 시총이 조대인데 카카오 이런게 지금도 조란다ㅋ
4004	개들이 짖어도 외인은 산다외인들이 사기 시작했다몰빵해라지그재그 일본 미국 진출픽코마 일본위카카오 유니버스 주목해라
4005	용솟음 쳐라 카카오네이버오르는데 카카오 떨어지냐 돌겟네 ㅋㅋ
4006	한심하군이럴줄은 알았지만 해도해도 너무한다개잡주 망해라 ㅆ ㅂ 회사
4007	나락
4008	부자아빠 말이 맞네한번 상승한 종목은 죽어도 영원히 안오른다는데바바이 바바야 이러더라 어제끝났나바 카카오도 해먹은 종목이래
4009	앵두나무 만 열렸네에헤레디야 풍년이다 목탁을 두들겨라
4010	육카오 굿 얘드라 빼서 비트코인사라육카오 오카오 가즈아
4011	덮어두세요기름값원돌파대출금리 상승중물가폭등수도전기도오른다네주식시장이 잘 될수가없다안보는게 정신건강에 좋을듯
4012	죽은 자식 불알참 씁쓸 에휴 땅꺼짐
4013	 ㄱㄱㄱ쌍용 내꺼
4014	카카오모빌리티 또 분사하냐대체 카카오에 남는 수익사업이 뭐냐
4015	삼성 진짜하나요 시스템반도체 위 선언한 삼성
4016	성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요
4017	아니와 단하루도단하루도 안올라ㅡㅡ
4018	또 시작 하누만이제는 딱 한가지 내가 망했으니 개카오도 망하라고 기도할 뿐이다
4019	거지같은쓰레기 잡주
4020	뭐든 쉽게 안끝난다오를때도 줄기차게 오르지만내릴때도 마찬가지돈 쉽게 벌려는 주린이들에게 이번 장이아주 훌륭한 공부가 될꺼야
4021	와 ㅅ ㅂ와 ㅅㅂ
4022	형이 분명 말했다오늘 가능
4023	입성수익좀 주셈
4024	코로나 전 위치로 가는게 바로 너의 원래 자리다정답 알려 드렸음
4025	주인은이미 욕먹은거 ㅋ 크게 욕먹으나 작게 욕먹으나 같다고생각할듯 ㅋㅋ 고로 해쳐먹을거 다 해쳐먹는거지시총봐라겁난다겁나
4026	지옥문이 열렸네며칠전부터 얘기했다이제 시작일뿐새가슴들은 주닥하고 나가라ㅎㅎㅎ
4027	미친 씹까오죽여라
4028	만깨지겠네빡세구만
4029	오늘 꼭 파세요왜냐면 오늘이 제일 비싸
4030	밍했다한강간다
4031	개씹까오 쓰르발
4032	끝났다카카오희망이 없다다들 정리들 해라
4033	앵두믿고 주도주 잘못사지말고 천보 앨엔에프 에ㅗ프로비엠주도주 차전지라고 알려줘도 여기서노네 ㅋ
4034	매물대 엄청나게 쌓이네 ㄷㄷ이거 누가먹으면서 올려줌
4035	어질어질하다  ㅋㅋ어질어질하다  ㅋㅋ
4036	미쳤다괜히 사서 지랄이네
4037	진짜 도랏네이거 반등이 있기는 하겟노
4038	마지막 기회 주도주 천보 앨엔에프 에코프로비엠앵두땜에 불쌍해서알려준다 어휴 ㅠㅠㅠ
4039	개카오칵 퉤
4040	환율 오름세 못막으면폭락온다 잘들 판단해라
4041	만거는건 당연한 파동이다그래도 산 내손가락을 원망해야지
4042	어짜피 짜는가는데호구들은 진짜 답없다 평생호구 ㅋㅋㅋ
4043	제발공매도를 없애던 제발 좀 뭐라도 해라
4044	에 매수걸어봄자 기념으로
4045	저점판단 억 매수ㅇㅇㅇ
4046	게잡주코스닥보다 더많이 빠지는주식 넌 딱 코인이다
4047	와 털길잘했네ㄷㄷ
4048	육카오 육카오경축
4049	집들이 할때냐용산 잔디에 풀만 보지 말고물에 잠겨 죽는 서민들 경제를 봐라
4050	범수랑 대표 당장 나와서 뭐라도 좀 해라 기관 모아서다시 하고 대책좀 내놔라뭐주주들 그냥 다 죽일셈이야
4051	코스모신소재 폭락장에서도우상향하는거 보소이넘이 주도주인듯
4052	금리인상세계경제 위기땐대형주부터 박살
4053	여기서반토막 나도 시총보면 개거품인듯
4054	삼전에 물리는게 낫다  카카오에 물리는게 낫다삼전  카카오어느 회사에 물리는게 나을까삼전이면 추천카카오면 비추천
4055	지금은 무조건 몸사려야 한다정말 만카오 갈수도 있다
4056	답이 없다답이없다이젠
4057	카카오 적정가 알려준다
4058	아직멀었다월엔한미금리역전올하반기까지미금리최하까지인상만까지는충분하고만도충분하다
4059	물량 매집하는 저점 윗호가에 주씩 매수합시다어차피 오를 구간이니 주가는 무의미주식 수를 늘려가야 하는 시점입니다물량 매집하는 윗호가에 주씩 매수게임스톱이 공격적 매수시장가로 공매도를 몰아낸 것과 달리 우리는 방어적 매수윗호가로 공매도 스스로 물러나도록 만들어야 합니다공매도 윗호가   공매도 매수 대기창최저점 주식을 보유하지 않은 공매도가 가능한 이유는 주식의 매도주문 시점과 실제 결제시점이 다르기 때문입니다공매도는 이러한 시차를 이용해 매도주문시점보다 싼 물량을 확보하고자 합니다 즉 살초도 물량을 넘겨주고 뼈투항매물를 넘겨받고자 하는 것이죠그 방식은 이러합니다첫째 동시호가 대기 물량은 가격시간수량 순으로 체결됨을 이용해 장전에 대량 매수 대기합니다둘째 우선순위 매수 체결될 최저점 에 닿도록 공매도를 합니다 셋째 최저점에 투항 매물을 받아먹다 동시호가 물량이 소진되기 전에 윗호가 를 채워넣습니다공매도는 매수 물량을 소화한 만큼 초도물량 이상의 투항 매물을 윗호가  에서 매집해야 합니다따라서 몇 번이고 매수 대기를 채워넣는데 그 뒤로 개미가 달라붙는다 호가를 더 내리거나 확 올려놓아야 하는 상황이 생깁니다분명한 것은 공매도 또한 실제 결제 시점에 이르면 상환을 해야 한다는 사실입니다 현재 공매도는 넘겨준 초도물량만큼의 투항매물을 넘겨받지 못하고 있습니다 빌린 주식초도물량보다 값싼 물량투항매물을 확보하지 못한 공매도는 손실을 확정하게 됩니다상환 기일은 다가오는데 투항매물은 초도물량에 비해 턱없이 모자르다면 상당히 초조하겠죠잊지 마시길 바랍니다 공매도 입장에서는 저점에 주 대기한 개미보다 저점 윗호가에 주씩 달라붙는 개미를 털어내는 일이 까다롭습니다증권 범죄 합수단 부활 엄정한 수사 예고 한투연 인수위에 공매도 제도 개선 방안 제안 단독 에 코드맞춘 법무부 불법 공매도 주가조작급 엄벌 새정부 자본시장 활성화 정책방향
4060	추매했엉ㅛ몰라몰라언젠가는 가겠지
4061	사업부가 쪼개지는데 반등이 있겟냐피자 한조각을 한판 가격에 판다는데 사고 싶냐
4062	정말개박살이나는구나ㅜㅠ오스템임플란트에몰빵할걸미친개잡주를샀네
4063	오늘 당장가서 천보 앨엔에프 에코프로비엠봐라왜 주도주를 사야돼는지 알거다 어휴 유트브에서 낚여가지고 잘못사지마라
4064	물리신 개미여러분 모두 동참해주세요뭘 같이 해보자는건데뭘뭘그거 있자나 신나는거 있자나그러니까 그게 뭔데아이 참 나 따라 해봐하나 둘 하나 둘 센네카오 카오 신나는 노래모두 함께 불러보자 ㅋㅋㅋ뭐라고쿵쿵따리 쿵쿵따
4065	범수랑 대표는 이정도면 뭐라도 해야지 주주 다 죽일거가이재용이하고는 다른 모습을 보여줘야지 완전 주주들 다 알거지 만들라고
